# longitude latitude
 +71.0500  +22.8333
 +70.3000  +21.1597
 +63.4083  -19.6944
 +53.2836  +36.7443
 +47.2679  +32.6941
 +39.0806  +37.0439
 +38.9167  +38.5500
 +27.2329  -31.7031
 +28.2703  -26.0579
 +28.1167  -25.8000
 +28.1494  -25.8058
 +28.4145  -26.2047
 +28.2671  -25.8259
 +31.3531  +30.1794
 +30.8558  -30.0963
 +31.2667  +31.0000
 +26.8333  +43.5667
 +26.0000  +45.6000
 +19.9500  +48.1500
 +16.7640  +46.7803
 +15.4467  +46.3878
 +11.2333  +48.8833
 +13.0725  +49.7485
 +12.6333  +50.7833
 +7.5693  +51.0006
 +8.6000  +50.4667
 +7.7333  +51.0667
 +5.9000  +51.0500
 +5.1900  +51.8887
 +4.0385  +51.6503
 -2.5167  +53.7167
 -2.8167  +53.3667
 -3.4933  +51.4569
 -62.8833  +46.0167
 -65.3735  +45.6496
 -73.6720  +41.2888
 -75.0429  +41.8423
 -73.9768  +41.2118
 -74.2563  +40.2182
 -75.8427  +40.0107
 -78.9499  +40.1992
 -83.1201  +39.8639
 -83.1016  +37.3340
 -82.1401  +37.6484
 -80.0855  +26.3453
 -77.3667  +18.4000
 -71.2272  -30.2008
 -81.2177  +37.4443
 -85.7026  +37.9633
 -82.1525  +32.5389
 -84.3152  +33.0181
 -81.6354  +35.5300
 -84.8836  +37.9151
 -86.8634  +37.6660
 -90.1268  +35.5365
 -88.2723  +30.7564
 -87.6662  +31.0326
 -90.0417  +32.8065
 -87.1980  +33.2904
 -85.6725  +33.2510
 -86.9939  +33.5792
 -91.8463  +32.2648
 -95.4525  +29.4185
 -90.7990  +29.3725
 -105.1150  +36.5581
 -105.9919  +38.5360
 -105.2603  +43.2319
 -123.5490  +46.5590
 -144.4396  +61.5156
 -127.7000  +52.3500
 +176.8242  -39.6744
 +175.4500  -37.8667
 +175.3000  -38.0500
 +176.1333  -37.7167
 +150.6000  -33.7167
 +173.5057  -35.3932
 +149.9667  -36.3500
 +142.4578  +44.3506
 +151.7000  +62.2667
 +129.1370  +61.4777
 +131.9692  +44.3092
 +131.4300  +43.0400
 +127.1046  +37.6020
 +126.7220  +37.5053
 +126.5814  +37.6522
 +126.7419  +37.5839
 +126.9000  +34.5500
 +49.6917  +49.4378
 +53.9719  +49.6611
 +50.2135  +56.5481
 +46.4981  +51.6134
 +41.4181  +52.8221
 +46.0892  +52.8589
 +40.3412  +50.8588
